,additional_events,time,distance
89,-0.038834951456310676,-9,7
90,-0.10679611650485436,-8,7
91,-0.019417475728155338,-7,7
92,-0.06796116504854369,-6,7
93,-0.0970873786407767,-5,7
94,0.2912621359223301,-4,7
95,0.1262135922330097,-3,7
96,0.0970873786407767,-2,7
97,-0.42718446601941745,-1,7
98,0.17475728155339806,0,7
99,0.019417475728155338,1,7
100,0.17475728155339806,2,7
101,0.13592233009708737,3,7
102,0.06796116504854369,4,7
103,0.019417475728155338,5,7
104,-0.06796116504854369,6,7
105,0.038834951456310676,7,7
106,-0.0970873786407767,8,7
107,-0.1650485436893204,9,7
108,-0.13592233009708737,10,7
109,0.06796116504854369,11,7
110,0.08737864077669903,12,7
111,0.11650485436893204,13,7
112,-0.1941747572815534,14,7
113,-0.14563106796116504,15,7
114,-0.17475728155339806,16,7
115,-0.06796116504854369,17,7
116,-0.22330097087378642,18,7
117,-0.05825242718446602,-20,6
118,-0.019417475728155338,-19,6
119,-0.10679611650485436,-18,6
120,-0.1262135922330097,-17,6
121,-0.009708737864077669,-16,6
122,-0.14563106796116504,-15,6
123,0.0,-14,6
124,0.019417475728155338,-13,6
125,0.0970873786407767,-12,6
126,0.009708737864077669,-11,6
127,0.05825242718446602,-10,6
128,-0.24271844660194175,-9,6
129,0.0,-8,6
130,0.10679611650485436,-7,6
131,-0.11650485436893204,-6,6
132,-0.038834951456310676,-5,6
133,0.1553398058252427,-4,6
134,0.04854368932038835,-3,6
135,-0.009708737864077669,-2,6
136,-0.6310679611650486,-1,6
137,-0.019417475728155338,0,6
138,0.08737864077669903,1,6
139,0.1553398058252427,2,6
140,0.07766990291262135,3,6
141,0.06796116504854369,4,6
142,0.0,5,6
143,-0.27184466019417475,6,6
144,-0.05825242718446602,7,6
145,-0.32038834951456313,8,6
146,-0.14563106796116504,9,6
147,-0.1941747572815534,10,6
148,-0.13592233009708737,11,6
149,-0.10679611650485436,12,6
150,0.009708737864077669,13,6
151,-0.1650485436893204,14,6
152,-0.18446601941747573,15,6
153,0.06796116504854369,16,6
154,-0.02912621359223301,17,6
155,-0.20388349514563106,18,6
156,-0.07766990291262135,-20,5
157,0.04854368932038835,-19,5
158,0.019417475728155338,-18,5
159,-0.11650485436893204,-17,5
160,-0.22330097087378642,-16,5
161,-0.1262135922330097,-15,5
162,-0.04854368932038835,-14,5
163,0.0970873786407767,-13,5
164,0.13592233009708737,-12,5
165,0.18446601941747573,-11,5
166,-0.009708737864077669,-10,5
167,-0.17475728155339806,-9,5
168,-0.02912621359223301,-8,5
169,0.0,-7,5
170,0.13592233009708737,-6,5
171,-0.23300970873786409,-5,5
