additional_events,time,distance,dend_type
-0.060606061,-45,6,basal
0.053333333,-40,6,basal
-0.050909091,-35,6,basal
-0.061818182,-30,6,basal
0.063030303,-25,6,basal
0.183030303,-20,6,basal
0.135757576,-15,6,basal
0.083636364,-10,6,basal
-0.135757576,-5,6,basal
-0.004848485,0,6,basal
-0.506666667,5,6,basal
-0.15030303,10,6,basal
-0.163636364,15,6,basal
-0.027878788,20,6,basal
-0.124848485,25,6,basal
-0.078787879,30,6,basal
0.023030303,35,6,basal
-0.016969697,-95,5,basal
-0.075151515,-90,5,basal
-0.027878788,-85,5,basal
-0.134545455,-80,5,basal
-0.059393939,-75,5,basal
-0.055757576,-70,5,basal
-0.126060606,-65,5,basal
0.033939394,-60,5,basal
-0.084848485,-55,5,basal
0.07030303,-50,5,basal
-0.023030303,-45,5,basal
-0.065454545,-40,5,basal
-0.047272727,-35,5,basal
-0.123636364,-30,5,basal
0.155151515,-25,5,basal
0.144242424,-20,5,basal
0.151515152,-15,5,basal
0.16,-10,5,basal
-0.052121212,-5,5,basal
-0.019393939,0,5,basal
-0.494545455,5,5,basal
-0.173333333,10,5,basal
-0.174545455,15,5,basal
-0.069090909,20,5,basal
-0.231515152,25,5,basal
-0.12,30,5,basal
0.020606061,35,5,basal
-0.032727273,-95,4,basal
-0.122424242,-90,4,basal
-0.059393939,-85,4,basal
-0.116363636,-80,4,basal
-0.067878788,-75,4,basal
-0.047272727,-70,4,basal
-0.121212121,-65,4,basal
-0.061818182,-60,4,basal
0.042424242,-55,4,basal
0.061818182,-50,4,basal
-0.08,-45,4,basal
-0.069090909,-40,4,basal
0.088484848,-35,4,basal
0.010909091,-30,4,basal
0.063030303,-25,4,basal
0.157575758,-20,4,basal
0.128484848,-15,4,basal
-0.012121212,-10,4,basal
-0.111515152,-5,4,basal
0.026666667,0,4,basal
-0.379393939,5,4,basal
-0.176969697,10,4,basal
-0.127272727,15,4,basal
-0.166060606,20,4,basal
-0.103030303,25,4,basal
-0.112727273,30,4,basal
0.020606061,35,4,basal
-0.072727273,-95,3,basal
-0.168484848,-90,3,basal
-0.055757576,-85,3,basal
-0.090909091,-80,3,basal
0.00969697,-75,3,basal
-0.118787879,-70,3,basal
-0.082424242,-65,3,basal
-0.031515152,-60,3,basal
-0.003636364,-55,3,basal
-0.015757576,-50,3,basal
-0.136969697,-45,3,basal
-0.075151515,-40,3,basal
0.048484848,-35,3,basal
0.066666667,-30,3,basal
0.020606061,-25,3,basal
0.31030303,-20,3,basal
0.273939394,-15,3,basal
0.203636364,-10,3,basal
0.032727273,-5,3,basal
0.078787879,0,3,basal
-0.424242424,5,3,basal
-0.226666667,10,3,basal
-0.185454545,15,3,basal
-0.122424242,20,3,basal
-0.130909091,25,3,basal
-0.035151515,30,3,basal
-0.024242424,35,3,basal
-0.163636364,-95,2,basal
-0.207272727,-90,2,basal
-0.020606061,-85,2,basal
-0.088484848,-80,2,basal
-0.032727273,-75,2,basal
-0.104242424,-70,2,basal
-0.092121212,-65,2,basal
0.096969697,-60,2,basal
-0.096969697,-55,2,basal
-0.118787879,-50,2,basal
-0.155151515,-45,2,basal
-0.035151515,-40,2,basal
0.071515152,-35,2,basal
-0.004848485,-30,2,basal
0.082424242,-25,2,basal
0.300606061,-20,2,basal
0.283636364,-15,2,basal
0.336969697,-10,2,basal
0.08,-5,2,basal
0.146666667,0,2,basal
-0.471515152,5,2,basal
-0.12969697,10,2,basal
-0.186666667,15,2,basal
-0.099393939,20,2,basal
-0.04,25,2,basal
-0.060606061,30,2,basal
-0.086060606,35,2,basal
-0.098181818,-95,1,basal
-0.139393939,-90,1,basal
-0.076363636,-85,1,basal
-0.135757576,-80,1,basal
-0.08969697,-75,1,basal
-0.084848485,-70,1,basal
-0.077575758,-65,1,basal
0.048484848,-60,1,basal
-0.00969697,-55,1,basal
-0.064242424,-50,1,basal
-0.084848485,-45,1,basal
0.00969697,-40,1,basal
-0.025454545,-35,1,basal
-0.015757576,-30,1,basal
0.002424242,-25,1,basal
0.372121212,-20,1,basal
0.223030303,-15,1,basal
0.324848485,-10,1,basal
0.122424242,-5,1,basal
0.071515152,0,1,basal
-0.345454545,5,1,basal
-0.258181818,10,1,basal
-0.132121212,15,1,basal
-0.090909091,20,1,basal
0.043636364,25,1,basal
0.029090909,30,1,basal
-0.08,35,1,basal
-0.053333333,-95,0,basal
-0.012121212,-90,0,basal
-0.054545455,-85,0,basal
-0.055757576,-80,0,basal
-0.043636364,-75,0,basal
-0.073939394,-70,0,basal
-0.053333333,-65,0,basal
-0.007272727,-60,0,basal
-0.001212121,-55,0,basal
-0.020606061,-50,0,basal
-0.046060606,-45,0,basal
-0.025454545,-40,0,basal
0.002424242,-35,0,basal
-0.019393939,-30,0,basal
0.026666667,-25,0,basal
0.191515152,-20,0,basal
0.162424242,-15,0,basal
0.220606061,-10,0,basal
0.145454545,-5,0,basal
0.037575758,0,0,basal
-0.168484848,5,0,basal
-0.176969697,10,0,basal
-0.104242424,15,0,basal
-0.021818182,20,0,basal
0.008484848,25,0,basal
-0.001212121,30,0,basal
0.046060606,35,0,basal
